lon,lat,order,x,y,distance,bearing
4.541882,51.864151,1505,96775.23207,430959.9863,29.04891746,75.35676227
4.542135,51.864192,1506,96792.7109,430964.345,18.0152267,75.33163194
4.542283,51.864221,1507,96802.94215,430967.4528,10.69350084,72.43767977
4.54267,51.864295,1508,96829.69304,430975.3757,27.90123134,72.83644326
4.543053,51.864369,1509,96856.16834,430983.3019,27.63803818,72.66785206
4.543428,51.864442,1510,96882.09125,430991.1233,27.07885211,72.54519277
4.543802,51.864522,1512,96907.95424,430999.7245,27.25741469,70.93973717
4.544166,51.864602,1513,96933.12838,431008.3338,26.60723701,70.45529521
4.544531,51.864681,1514,96958.37001,431016.8311,26.63519582,70.73039049
4.544733,51.864725,1515,96972.33968,431021.5649,14.75084654,70.61642285
4.544894,51.864767,1516,96983.48283,431026.1089,12.03479162,67.15111681
4.545251,51.86486,1517,97008.19132,431036.1704,26.68017643,67.17972956
4.545596,51.864958,1519,97032.07964,431046.7979,26.14726463,65.35323413
4.545938,51.865057,1520,97055.76251,431057.5391,26.00646545,64.94052115
4.546281,51.865157,1521,97079.51545,431068.3908,26.11604379,64.78335632
4.546622,51.865256,1522,97103.12925,431079.133,25.94398789,64.87598933
4.546846,51.865321,1523,97118.64085,431086.186,17.04083607,64.88692107
4.547302,51.865461,1525,97150.22778,431101.3981,35.06133708,63.62250096
4.547603,51.865553,1526,97171.07728,431111.3937,23.12316663,63.72433373
4.547985,51.865678,1528,97197.54792,431124.9963,29.76297772,62.14097795
4.548328,51.86579,1529,97221.31562,431137.1837,26.7119187,62.1911944
4.54853,51.865856,1530,97235.31293,431144.3657,15.73331237,62.17657442
4.548662,51.865903,1531,97244.46462,431149.4897,10.48912997,60.09526579
4.548992,51.86602,1532,97267.34315,431162.2439,26.19509753,60.20062433
4.549323,51.866135,1534,97290.28787,431174.7749,26.14522071,60.69876255
4.549651,51.866249,1535,97313.02456,431187.1972,25.91050853,60.68962608
4.549931,51.866346,1536,97332.43344,431197.7664,22.10143845,60.76933657
4.550299,51.866485,1538,97357.95688,431212.9384,29.69421255,58.61152289
4.550621,51.866606,1539,97380.28896,431226.1445,25.94623021,58.742557
4.550943,51.866728,1540,97402.62219,431239.4619,26.00408669,58.5329189
4.551266,51.86685,1541,97425.02419,431252.7787,26.06281245,58.61189538
4.551578,51.866967,1542,97446.66207,431265.548,25.12632457,58.7948932
4.551893,51.867086,1543,97468.50901,431278.5375,25.41845258,58.6071234
4.552209,51.867206,1544,97490.42599,431291.6376,25.53522821,58.47445321
4.552527,51.867326,1545,97512.4806,431304.7361,25.65270941,58.63527035
4.552846,51.867449,1546,97534.60779,431318.1678,25.88640815,58.08369881
4.553162,51.867571,1547,97556.52698,431331.4906,25.65213651,58.0505658
4.553476,51.867692,1548,97578.30703,431344.7039,25.47632575,58.09887488
4.553787,51.867813,1550,97599.88035,431357.9197,25.30108228,57.85151575
4.553921,51.867865,1551,97609.17539,431363.5989,10.89342783,57.91845002
4.554091,51.867931,1552,97620.96763,431370.8073,13.82177177,57.9067363
4.554392,51.868047,1553,97641.84564,431383.4749,24.42199607,58.09655735
4.554692,51.868164,1555,97662.65595,431396.2546,24.42262878,57.78949176
4.554993,51.868282,1556,97683.5363,431409.1448,24.54023679,57.65534732
4.555294,51.868401,1557,97704.41781,431422.1464,24.59989833,57.43633844
4.555627,51.868509,1559,97727.48906,431433.8991,25.89388712,62.34974876
4.555958,51.868604,1560,97750.40593,431444.2072,25.1300638,65.12624921
4.556297,51.868702,1561,97773.87748,431454.8429,25.77043352,64.96821664
4.55651,51.868763,1562,97788.62431,431461.4616,16.16504247,65.17377044
4.556974,51.868911,1564,97820.76792,431477.5617,35.95257704,62.74004377
4.557278,51.869004,1566,97841.82238,431487.669,23.35628881,63.70225154
4.557581,51.869095,1568,97862.80534,431497.5546,23.19652805,64.11960049
4.558034,51.869207,1570,97894.14524,431509.6588,33.59826451,68.22856244
4.558222,51.869254,1571,97907.15226,431514.7399,13.96514088,68.00870977
4.558395,51.869296,1572,97919.11987,431519.2766,12.79945876,68.58599267
4.558755,51.869384,1573,97944.02427,431528.7841,26.65917225,68.4520601
4.559096,51.869462,1575,97967.6074,431537.1941,25.03939948,69.72035959
4.559477,51.869541,1577,97993.94646,431545.6842,27.67531926,71.48147347
4.559844,51.869607,1579,98019.30481,431552.739,26.3230851,73.80081887
4.560009,51.869636,1580,98030.70483,431555.836,11.81394613,74.14964105
4.560218,51.869669,1581,98045.1401,431559.3435,14.85624421,75.69090996
4.560586,51.869728,1582,98070.55832,431565.6191,26.1831203,75.47974266
4.560953,51.869789,1584,98095.91014,431572.1181,26.17323755,74.97033441
4.561205,51.869831,1585,98113.31803,431576.5935,17.97510138,74.931164
4.56167,51.869908,1587,98145.43902,431584.796,33.15388135,75.02389794
4.562053,51.869976,1589,98171.90136,431592.0617,27.44340473,73.99640819
4.562382,51.87004,1591,98194.63971,431598.9246,23.75298313,72.55476473
4.562696,51.870103,1593,98216.34372,431605.6881,22.73487813,72.04167598
4.563084,51.870191,1595,98243.1754,431615.1753,28.46133146,69.87777165
4.56351,51.870297,1597,98272.64663,431626.6354,31.6230135,68.10162841
4.563866,51.870395,1599,98297.28694,431637.2603,26.83512612,66.02526253
4.564046,51.870446,1600,98309.7473,431642.7937,13.63462965,65.40605304
4.564218,51.870496,1601,98321.65544,431648.2221,13.08791658,64.84501296
4.564416,51.870554,1602,98335.36417,431654.5203,15.08727129,64.67597798
4.564575,51.870606,1603,98346.3795,431660.1815,12.38569443,62.15154273
4.564925,51.87072,1604,98370.62641,431672.5914,27.23991663,62.24772978
4.565271,51.870837,1606,98394.6015,431685.3383,27.1547873,61.35367064
4.565611,51.870965,1608,98418.1771,431699.3137,27.40834907,58.69314811
4.565759,51.871022,1609,98428.44099,431705.5399,12.0054341,58.1113654
4.565944,51.871098,1610,98441.27678,431713.851,15.29255697,56.42978667
4.566215,51.87121,1611,98460.08025,431726.1003,22.44282139,56.27105917
4.566598,51.87138,1613,98486.66945,431744.7152,32.45970856,54.35752324
4.566914,51.871524,1615,98508.61182,431760.4897,27.02585028,53.64069888
4.567105,51.871611,1616,98521.87433,431770.0201,16.33271335,53.65261409
4.567227,51.871677,1617,98530.35874,431777.2679,11.15936659,48.8481981
4.56751,51.871831,1618,98550.04081,431794.1808,25.95216279,48.68129511
4.567822,51.872005,1620,98571.74492,431813.2962,28.92360571,47.98274583
4.568112,51.872179,1622,98591.93383,431832.4288,27.81631863,45.8931041
4.568301,51.872297,1623,98605.09711,431845.4098,18.48841445,44.7540654
4.568665,51.872528,1625,98630.45312,431870.8265,35.9040128,44.28624349
4.568925,51.87271,1627,98648.58568,431890.8726,27.03200248,41.48567837
4.569126,51.872854,1628,98662.60758,431906.7369,21.1742396,40.82742744
4.569421,51.873083,1630,98683.20891,431931.9848,32.58844537,38.56849727
4.569641,51.873277,1632,98698.60153,431953.3971,26.37246969,35.0667631
4.569788,51.873409,1633,98708.8895,431967.9684,17.8383096,34.57950928
4.570038,51.873673,1635,98726.43531,431997.1451,34.04824251,30.37704141
4.570154,51.873795,1636,98734.57587,432010.6279,15.75078125,30.47850438
4.570341,51.874057,1639,98747.78059,432039.6309,31.86957198,23.83533885
4.570474,51.874266,1641,98757.20041,432062.7794,24.99334617,21.49914391
4.57058,51.874489,1643,98764.77838,432087.5064,25.86373955,16.39493252
4.570654,51.874745,1645,98770.19397,432115.9294,28.93616389,10.14405882
4.570691,51.874871,1646,98772.89925,432129.9183,14.24908302,10.30162582
4.570739,51.875191,1648,98776.60434,432165.4815,35.75792267,5.304384014
4.570749,51.87541,1650,98777.56654,432189.8377,24.37676147,1.618918984
4.570753,51.875509,1651,98777.96567,432200.8484,11.01867763,1.432577565
4.570742,51.875624,1652,98777.35188,432213.6508,12.81787924,-3.388214786
4.570731,51.875741,1653,98776.7406,432226.6756,13.040027,-3.330419397
4.570714,51.875843,1654,98775.69743,432238.0364,11.40925635,-5.889736579
4.570691,51.87598,1655,98774.28484,432253.2955,15.32537919,-5.932403809
4.570583,51.876269,1657,98767.20922,432285.5305,33.00455608,-13.0236044
4.57049,51.876479,1659,98761.06782,432308.9652,24.22752518,-15.32851348
4.570382,51.876675,1661,98753.87613,432330.8539,23.04136067,-18.83191985
4.57024,51.876884,1663,98744.35959,432354.2152,25.22689017,-22.80787394
4.57007,51.877094,1665,98732.9164,432377.7094,26.13452016,-26.61285053
4.569868,51.877306,1667,98719.27239,432401.4509,27.38457968,-30.52945848
4.56967,51.877506,1669,98705.88894,432423.8544,26.0982624,-31.49749421
4.569453,51.877685,1671,98691.17105,432443.9363,24.8993979,-36.88161757
4.569311,51.877797,1672,98681.53364,432456.5064,15.84042079,-38.12162017
4.569216,51.877875,1673,98675.08994,432465.2576,10.86826424,-37.00967927
4.568987,51.878064,1674,98659.55856,432486.4614,26.28526945,-36.86662581
4.568753,51.878256,1676,98643.68679,432508.0029,26.75896039,-37.0275397
4.568513,51.878453,1677,98627.40829,432530.1054,27.45187863,-37.01666021
4.568274,51.878648,1678,98611.19629,432551.9847,27.23280977,-37.18272615
4.568033,51.878858,1680,98594.86553,432575.5343,28.65979707,-35.38519058
4.567928,51.878951,1681,98587.7524,432585.9621,12.62362519,-34.94467609
4.567799,51.879071,1682,98579.02066,432599.4123,16.03696536,-33.6368774
4.567642,51.879217,1683,98568.39366,432615.7768,19.51353129,-33.64520487
4.567437,51.879427,1685,98554.54204,432639.2986,27.29906197,-31.13900942
4.567358,51.879511,1686,98549.20799,432648.705,10.8142317,-30.20210437
4.567163,51.879719,1687,98536.04257,432671.9966,26.75665694,-30.12308453
4.567002,51.879891,1688,98525.1731,432691.2568,22.11703942,-30.08441736
4.566801,51.880132,1690,98511.63622,432718.2244,30.17640758,-27.30154931
4.56663,51.880336,1691,98500.1186,432741.0524,25.57067219,-27.41921019
4.566476,51.880548,1693,98489.78162,432764.7573,25.86232555,-24.20723611
4.566332,51.880753,1694,98480.12446,432787.6757,24.87149826,-23.49598983
4.566207,51.880962,1696,98471.78058,432811.0243,24.7963051,-20.31178062
