t,date,lat_gps,lon_gps,alt,speed,speed3D,fix,precision,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
2502.013496888885,2016-01-01 20:13:23.942000+00:00,51.9417369,4.4264801,4.14953099200001,20.322,73.476,3.0,134.0,19.842391258022417,20.14287504892401,-35.380874847452105,20.12275229663243,88940.85816223988,439690.0874730044,2355.0,4.426527,51.941709,3308.0,88944.04183,439686.941,28.76276272,2243485.48449471,-0.8403722818051179,M,straight
2503.0144968888853,2016-01-01 20:13:24.943000+00:00,51.9418863,4.4263101,3.9575309920000095,20.573000000000004,74.01599999999999,3.0,149.0,20.47492727675051,20.32228697564804,-35.1170708759218,20.30198499065325,88929.38923956467,439706.862759986,2356.0,4.426359,51.94186,3309.0,88932.71276,439703.8924,20.38992829,2243485.48681918,-1.0555735730191789,M,straight
2504.038912093564,2016-01-01 20:13:25.967000+00:00,51.942045,4.4261282,3.6665309920000126,20.832000000000004,74.844,3.0,149.0,21.859948882375168,21.63955620170925,-35.31321999236209,21.12381396027928,88917.11587515051,439724.6835195026,2357.0,4.42619,51.942012,3310.0,88921.31648,439720.9561,20.52055353,2243485.50472226,-1.3510440811840985,M,straight
2505.0164968888853,2016-01-01 20:13:26.945000+00:00,51.9421976,4.4259538,3.4785309920000103,21.053,75.564,3.0,149.0,20.943931964651814,20.78758266805374,-35.23452012975093,21.26422461513172,88905.34929537968,439741.8188639523,2358.0,4.426018,51.942167,3311.0,88909.71842,439738.3562,20.91248345,2243485.55691566,-1.6447277735163386,M,straight
2506.017496888885,2016-01-01 20:13:27.946000+00:00,51.9423501,4.425782,3.4675309920000075,20.821,74.844,3.0,149.0,20.80416157163228,20.67579308566566,-34.84752305851987,20.655137947723123,88893.76141632037,439758.94074664346,2359.0,4.425843,51.94232,3313.0,88897.91124,439755.5366,20.8477223,2243484.7435016,-1.4236446500170756,M,straight
2507.018496888885,2016-01-01 20:13:28.947000+00:00,51.9425014,4.4256112,3.41153099200001,20.818,74.808,3.0,149.0,20.616814098305856,20.52691148230721,-34.90285957803283,20.50640507723512,88882.24060729732,439775.9282471313,2360.0,4.42567,51.942472,3314.0,88886.24017,439772.604,20.67750883,2243484.87681513,-1.358750271216232,M,straight
2508.019496888885,2016-01-01 20:13:29.948000+00:00,51.9426521,4.4254358,3.4435309920000137,20.775,75.31200000000001,3.0,149.0,20.29232811049597,20.655278071773107,-35.728373086023794,20.634643428340564,88870.40271847522,439792.85321084486,2361.0,4.425495,51.942625,3315.0,88874.43315,439789.7845,20.84767591,2243484.74368617,-1.519793662957195,M,straight
2509.020496888885,2016-01-01 20:13:30.949000+00:00,51.9428038,4.4252605,3.473530992000008,21.054,75.70800000000001,3.0,149.0,20.833388497388743,20.741684588328432,-35.5333817628927,20.72096362469951,88858.5732593264,439809.8893621971,2362.0,4.42532,51.942779,3316.0,88862.62769,439807.0762,20.93860868,2243484.91952752,-1.7011271580952625,M,straight
2510.044912093564,2016-01-01 20:13:31.973000+00:00,51.9429652,4.4250748,3.482530992000008,21.055,75.70800000000001,3.0,149.0,21.93440254788437,22.03563734480033,-35.41556595137902,21.51045517887152,88846.0431160381,439828.014133984,2363.0,4.425143,51.942933,3319.0,88850.68479,439824.3698,21.01792927,2243484.61280965,-1.6737286430713314,M,straight
2511.022496888885,2016-01-01 20:13:32.951000+00:00,51.9431171,4.4249011,3.069530992000012,20.759,74.988,3.0,149.0,20.334765483097065,20.696056028600108,-35.249513557973444,21.17059934611973,88834.32412836284,439845.0711375901,2364.0,4.424965,51.943087,3320.0,88838.67323,439841.6643,21.05780195,2243484.46036696,-1.558644574387675,M,straight
2512.046912093564,2016-01-01 20:13:33.975000+00:00,51.9432776,4.4247212,2.6195309920000085,20.765,74.736,3.0,149.0,21.68687419429764,21.72449050383337,-34.71115515132354,21.20672399688024,88822.19161508033,439863.0905648759,2365.0,4.42479,51.943239,3321.0,88826.86506,439858.7337,20.7568239,2243484.5667716,-1.2819751796842331,M,straight
2513.0572093071864,2016-01-01 20:13:34.985000+00:00,51.9434288,4.4245497,2.168530992000008,20.773,74.55600000000001,3.0,149.0,19.558704643344363,20.54524298755025,-35.03014730210913,20.335840493795,88810.62302190674,439880.06774704513,2366.0,4.424615,51.943391,3322.0,88815.05698,439875.803,20.75680067,2243484.56686378,-1.1402586885787764,M,straight
2514.048912093564,2016-01-01 20:13:35.977000+00:00,51.9435792,4.4243791,1.6675309920000103,20.601,74.088,3.0,157.0,21.419525984264805,20.4368081548905,-35.031226007695295,20.60779543590952,88799.11520819934,439896.9551368347,2367.0,4.424441,51.943542,3323.0,88803.31626,439892.7603,20.62625393,2243484.54340488,-0.9886222664032832,M,straight
