t,lon_gps,lat_gps,alt,time,duration_local,speed_haversine,distance_gps,bearing_gps,speed_geod,x_gps,y_gps,road_index,lon_road,lat_road,order,x_road,y_road,distance_road,bearing_road,offset,section,road type
1604.6391226198796,4.5321543,51.8636163,45.854,2021-10-21 09:33:02.999000+00:00,1612.999,28.48255054340277,28.573341117117884,93.93636473132754,28.573341117117884,96104.52032551303,430908.3352860934,1392.0,4.532153,51.863602,2066.0,96104.41208,430906.7455,28.58168342,25920813.79437517,-1.5934644831440643,G,straight
1605.6391226198796,4.53256681,51.86360121,45.784,2021-10-21 09:33:03.999000+00:00,1613.999,28.37540517513153,28.465944588991785,93.38123383549568,28.465944588991785,96132.91325695618,430906.3224720948,1393.0,4.532565,51.863585,2067.0,96132.76739,430904.5206,28.44422451,25920813.8127404,-1.807583559437532,G,straight
1606.6391226198796,4.53297901,51.86358591,45.817,2021-10-21 09:33:04.999000+00:00,1614.999,28.355556715289563,28.44602526776718,93.43075069267988,28.44602526776718,96161.28458224886,430904.2867074824,1394.0,4.532977,51.863568,2068.0,96161.12273,430902.2958,28.44423519,25920813.812738948,-1.9972635099358336,G,straight
1607.6391226198796,4.53339313,51.86357584,45.931,2021-10-21 09:33:05.999000+00:00,1615.999,28.458359364317413,28.549305850819216,92.24902500480356,28.549305850819216,96189.79500556228,430902.8313894165,1395.0,4.53339,51.863551,2069.0,96189.54697,430900.0705,28.51298036,25920813.80353205,-2.771261769562798,G,straight
1608.6391226198796,4.53380827,51.8635704,46.073,2021-10-21 09:33:06.999000+00:00,1616.999,28.51278446104894,28.6039852797826,91.212345924189,28.6039852797826,96218.38174376816,430901.89049768174,1396.0,4.533804,51.863534,2070.0,96218.04011,430897.8444,28.58172633,25920813.794369426,-4.0598364428870894,G,straight
1609.6391226198796,4.53422388,51.86356774,46.398,2021-10-21 09:33:07.999000+00:00,1617.999,28.54017594545317,28.63148949102005,90.5921146788648,28.63148949102005,96247.00449092464,430901.2586650443,1397.0,4.534224,51.86353,2072.0,96246.9635,430897.06,28.93581862,25920810.88113044,-4.1987989167051705,G,straight
1610.6391226198796,4.53463736,51.86356972,46.576,2021-10-21 09:33:08.999000+00:00,1618.999,28.393236610169616,28.48408347444883,89.55669067405029,28.48408347444883,96275.48658630204,430901.1449173933,1398.0,4.534638,51.863532,2073.0,96275.48146,430896.948,28.51994457,25920809.552777,-4.196749530143872,G,straight
1611.6391226198796,4.53505084,51.86357536,46.649,2021-10-21 09:33:09.999000+00:00,1619.999,28.399305967226827,28.490141072478806,88.7377195848806,28.490141072478806,96303.97345259688,430901.4385076304,1399.0,4.535053,51.86354,2075.0,96304.07612,430897.503,28.60181395,25920808.21644484,-3.936796421314847,G,straight
1612.6391226198796,4.53546216,51.86358471,46.548,2021-10-21 09:33:10.999000+00:00,1620.999,28.263184288381364,28.35352119162607,87.89711376530417,28.35352119162607,96332.31637243203,430902.1467411274,1400.0,4.535464,51.863549,2076.0,96332.39657,430898.1725,28.3301114,25920807.97418575,-3.9745921990079247,G,straight
1613.6391226198796,4.5358687,51.8635977,46.661,2021-10-21 09:33:11.999000+00:00,1621.999,27.95316458670201,28.042416049581725,87.04545940911055,28.042416049581725,96360.33478845569,430903.2639408532,1401.0,4.535871,51.863558,2077.0,96360.44149,430898.8455,28.05473314,25920807.95429561,-4.419433740435274,G,straight
1614.6391226198796,4.53626841,51.86361199,46.777,2021-10-21 09:33:12.999000+00:00,1622.999,27.49277468806812,27.58050886469165,86.694998013175,27.58050886469165,96387.8844484816,430904.5314282232,1402.0,4.536272,51.863569,2079.0,96388.07575,430899.7459,27.65063052,25920807.46290444,-4.7893055025475055,G,straight
1615.6391226198796,4.53666074,51.86363229,46.77,2021-10-21 09:33:13.999000+00:00,1623.999,27.03444673931059,27.12046620558994,85.22254599899183,27.12046620558994,96414.93359741553,430906.47362737166,1403.0,4.536631,51.86358,2080.0,96412.81713,430900.6803,24.76055381,25920807.16657808,-5.681622830411738,G,straight
1616.6391226198796,4.53704703,51.86365302,46.745,2021-10-21 09:33:14.999000+00:00,1624.999,26.625254808197283,26.709936509778228,85.04593981298764,26.709936509778228,96441.5672624271,430908.46867449634,1404.0,4.537054,51.863604,2082.0,96441.98357,430903.0096,29.26111923,25920804.76376602,-5.474286353258684,G,straight
