trip_nr,dev_nr,sections,trip_name,signal_name,EWM_SPAN,LOOKBACK_DISTDIFF,LANE_CHANGE_DURATION,ROLLING_SUM_SIZE,CUTOFF_THRESHOLD,precision,recall,f1,timestamp
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.5999999999999999,0.4752475247524752,0.9056603773584906,0.6233766233766234,2022-02-09 14:31:03
2,4,all,03 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.5609756097560976,0.8961038961038961,0.69,2022-02-09 14:31:03
1,4,all,02 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.4609375,0.7972972972972973,0.5841584158415841,2022-02-09 14:31:03
0,4,all,01 GPS S9.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.5054945054945055,0.9019607843137255,0.647887323943662,2022-02-09 14:31:02
2,3,all,03 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.518796992481203,0.8961038961038961,0.6571428571428571,2022-02-09 14:31:02
1,3,all,02 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.36419753086419754,0.8428571428571429,0.5086206896551724,2022-02-09 14:31:02
0,3,all,01 GPS P20.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.3359375,0.8269230769230769,0.4777777777777778,2022-02-09 14:31:02
2,1,all,03 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.6440677966101694,0.9620253164556962,0.7715736040609137,2022-02-09 14:31:02
1,1,all,02 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.5074626865671642,0.918918918918919,0.6538461538461539,2022-02-09 14:31:02
0,1,all,01 GPS GoPro downsampled (last).csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.4948453608247423,0.9056603773584906,0.64,2022-02-09 14:31:02
2,0,all,03 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.5303030303030303,0.8974358974358975,0.6666666666666666,2022-02-09 14:31:02
1,0,all,02 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.4748201438848921,0.9166666666666666,0.6255924170616114,2022-02-09 14:31:01
0,0,all,01 GPS GlobalSat.csv,lookback_offset_ewmfilt,3,5,8,1,1.4,0.44761904761904764,0.9038461538461539,0.5987261146496815,2022-02-09 14:31:01
